id;name;rfid_uid;license_number;face_data;created_at;status
1;miserably splendid;playful burly penny;yuck enthusiasticall;../fake-data/blob/hipster.txt;2025-04-04T07:06:37;ACTIVE
2;silently pish joyfully;clockwork co-produce;indeed;../fake-data/blob/hipster.txt;2025-04-03T23:39:49;ACTIVE
3;ken jumbo above;demonise against;and lest lest;../fake-data/blob/hipster.txt;2025-04-03T16:05:40;ACTIVE
4;earnest ditch;respectful so;regarding;../fake-data/blob/hipster.txt;2025-04-04T03:37:22;INACTIVE
5;timetable till;underscore;passivize;../fake-data/blob/hipster.txt;2025-04-04T06:15:26;ACTIVE
6;never;extremely feel a;doubtfully recoil;../fake-data/blob/hipster.txt;2025-04-03T19:51:51;INACTIVE
7;times around;ha glow;worried down;../fake-data/blob/hipster.txt;2025-04-04T05:52:53;ACTIVE
8;regarding;under if and;plus;../fake-data/blob/hipster.txt;2025-04-03T15:12:54;INACTIVE
9;towards outside;glaring until blah;slowly;../fake-data/blob/hipster.txt;2025-04-03T17:14:07;INACTIVE
10;how gee;wrap deceivingly;dispatch darkness;../fake-data/blob/hipster.txt;2025-04-03T19:45:24;INACTIVE
