id;name;rfid_uid;license_number;face_data;created_at;status
1;surprisingly only;funny subsidise vali;concrete;../fake-data/blob/hipster.txt;2025-04-04T07:34:08;INACTIVE
2;angry;queasily readily;gah yuck yarn;../fake-data/blob/hipster.txt;2025-04-03T22:33:17;ACTIVE
3;holder polish in;fatten;why consequently;../fake-data/blob/hipster.txt;2025-04-03T14:24:02;INACTIVE
4;manufacturer optimistically;fizz overconfidently;and until muted;../fake-data/blob/hipster.txt;2025-04-04T03:54:54;ACTIVE
5;viciously provided boohoo;sear cruelly against;directive;../fake-data/blob/hipster.txt;2025-04-03T23:35:58;ACTIVE
6;geometry;annually energy inte;unto since;../fake-data/blob/hipster.txt;2025-04-03T11:49:59;INACTIVE
7;suspiciously highly;trembling;outside;../fake-data/blob/hipster.txt;2025-04-03T23:02:06;INACTIVE
8;around ew;ew gah;carelessly;../fake-data/blob/hipster.txt;2025-04-03T23:59:24;ACTIVE
9;sorrowful whenever;breakable;pish cooperative;../fake-data/blob/hipster.txt;2025-04-04T05:15:55;ACTIVE
10;whose wiry;leash safely;kiddingly wholly imp;../fake-data/blob/hipster.txt;2025-04-03T22:50:03;INACTIVE
