id;name;driver_id;license_number;face_data;created_at;status
1;monthly and unabashedly;given sidecar lever;ugh refund now;../fake-data/blob/hipster.txt;2025-04-03T18:35:01;INACTIVE
2;until um barium;whenever;hmph exotic psst;../fake-data/blob/hipster.txt;2025-04-04T13:05:54;INACTIVE
3;afterwards geez yowza;tenderize till;across;../fake-data/blob/hipster.txt;2025-04-04T04:08:05;ACTIVE
4;fooey;round delightfully;physical;../fake-data/blob/hipster.txt;2025-04-04T15:11:56;ACTIVE
5;blah after note;decent sick mid;pun overburden chasten;../fake-data/blob/hipster.txt;2025-04-04T07:01:26;INACTIVE
6;supposing transit whereas;automatic supportive;rightfully fragrance;../fake-data/blob/hipster.txt;2025-04-03T20:24:59;INACTIVE
7;boo pounce;aw unethically than;ambulance repeatedly pace;../fake-data/blob/hipster.txt;2025-04-03T20:24:00;INACTIVE
8;ack pluck vibrant;whoa slip cloud;yippee colorfully;../fake-data/blob/hipster.txt;2025-04-04T14:12:55;ACTIVE
9;deadly;coolly;whoa auction;../fake-data/blob/hipster.txt;2025-04-04T07:07:18;ACTIVE
10;except wherever aw;following hm;glittering patrol nor;../fake-data/blob/hipster.txt;2025-04-04T10:42:42;ACTIVE
